backbone,pred_len,n_ok,vus_pr_mean,vus_pr_median,vus_roc_mean,vus_roc_median,auc_pr_mean,auc_pr_median,auc_roc_mean,auc_roc_median,standard_f1_mean,standard_f1_median,pa_f1_mean,pa_f1_median,vus_pr_delta_vs96_mean,vus_pr_wilcoxon_p,vus_pr_n_paired,vus_roc_delta_vs96_mean,vus_roc_wilcoxon_p,vus_roc_n_paired,auc_pr_delta_vs96_mean,auc_pr_wilcoxon_p,auc_pr_n_paired,auc_roc_delta_vs96_mean,auc_roc_wilcoxon_p,auc_roc_n_paired,standard_f1_delta_vs96_mean,standard_f1_wilcoxon_p,standard_f1_n_paired,pa_f1_delta_vs96_mean,pa_f1_wilcoxon_p,pa_f1_n_paired
DLinear,96,200,0.30653693374352725,0.18210279475129104,0.7462867096626783,0.773388254677952,0.24592869984799215,0.11142438367376495,0.6976464209845616,0.7103936810674539,0.32021972885301053,0.2264077854388552,0.582004217622336,0.684556816008684,,,,,,,,,,,,,,,,,,
Moirai,96,200,0.33437400295557146,0.22131109258033133,0.708497223818531,0.7883136000855926,0.2754418141231288,0.1409168077578224,0.6480327245744014,0.7187618780780198,0.33880701841930116,0.25373604453333254,0.5808368520891488,0.7606161512112304,,,,,,,,,,,,,,,,,,
PatchTST,96,200,0.2988292094294792,0.1952766694324923,0.7397485128500934,0.7953019588424117,0.23140027520614923,0.13746476202760266,0.6822043787251861,0.7200806067538027,0.31389857605659444,0.23851037400799596,0.5933762047123625,0.6974194664449492,,,,,,,,,,,,,,,,,,
TTM,12,200,0.3169588202313772,0.16447228550213316,0.7257205623433305,0.7216775988637465,0.2558125655472756,0.12231290770692416,0.6634969139264265,0.6145770067737002,0.30300967510791216,0.18399483665213806,0.6140985356693196,0.76714456142201,-0.02621785479713531,0.4039391256066871,200.0,-0.017642239031987226,0.13027206595762894,200.0,-0.024725460719393362,0.1767770566350234,200.0,-0.024089547157314657,0.054478519457656895,200.0,-0.04436006362976899,1.0031652047558775e-05,200.0,0.018445394634034287,0.0007960475228148659,200.0
TTM,24,200,0.3382726332407293,0.22240027498851062,0.732125996439762,0.745166076226891,0.2783327354640743,0.1451516377046987,0.6728247479614649,0.6520407210962956,0.33003515202687667,0.2347422943427648,0.6038270441392928,0.7005312908823933,-0.004904041787783174,0.24390686399040373,200.0,-0.011236804935555686,0.5361575005355503,200.0,-0.002205290802594689,0.7079602662639677,200.0,-0.014761713122276135,0.20794678834743396,200.0,-0.017334586710804442,0.2923318268349142,200.0,0.008173903104007478,0.042082769419756666,200.0
TTM,48,200,0.35983568432396545,0.25114069387026067,0.7400988358560611,0.773970466121119,0.2965243789261914,0.16486996647853897,0.6835434232973228,0.6870825490245684,0.3533820324335295,0.25008795672222606,0.5949415449921698,0.7074374480353629,0.01665900929545293,0.0037416330302500562,200.0,-0.0032639655192565004,0.9873441585702292,200.0,0.01598635265952246,0.00646032493329051,200.0,-0.004043037786418418,0.8195104530235724,200.0,0.006012293695848358,0.4370065112596502,200.0,-0.0007115960431155566,0.4568939354126247,200.0
TTM,96,200,0.3431766750285125,0.21790784357173665,0.7433628013753176,0.7819667120580174,0.28053802626666896,0.1550231348418497,0.6875864610837411,0.6986925519646577,0.3473697387376811,0.2476710495762725,0.5956531410352853,0.6789832710735748,,,,,,,,,,,,,,,,,,
TTM,192,200,0.3127626332875453,0.1994330226768175,0.7275675555703007,0.7940461920812021,0.2583908915813773,0.15328326877752055,0.6754135645699774,0.6947760932878606,0.3378420302954821,0.25824642136724507,0.5722728506060648,0.6738241308793456,-0.030414041740967207,3.531742513275839e-08,200.0,-0.01579524580501689,3.7001566497947456e-05,200.0,-0.022147134685291656,5.715503007438217e-06,200.0,-0.012172896513763722,0.0008315075339478745,200.0,-0.009527708442199034,0.009509774758822852,200.0,-0.02338029042922047,5.3149452339477936e-05,200.0
TimeMixer,96,200,0.31293052214749517,0.20880512797257744,0.7576713044129534,0.8209283595313255,0.24459290676684908,0.13751680652310827,0.7008470973987219,0.7507769783006135,0.3225175151853134,0.245356035805924,0.5926297286151647,0.6599808978032473,,,,,,,,,,,,,,,,,,
TimeXer,96,200,0.3078941262803455,0.2170091375230204,0.7443819500287877,0.7962567117791914,0.24209252839680886,0.13571330177098323,0.6862072907637594,0.7383342064301428,0.3232900905694988,0.2444660103069195,0.5918925720343423,0.6437186394533848,,,,,,,,,,,,,,,,,,
TimesFM,96,200,0.31469637315399196,0.20437039876530705,0.7264570991238708,0.7770283809926877,0.24874642050522439,0.14079800319358016,0.6626348921148746,0.6766660059938061,0.317413990284857,0.2346118136346771,0.6087993325626869,0.6878202354482665,,,,,,,,,,,,,,,,,,
TimesNet,96,200,0.28765612780894834,0.19195743145230085,0.7379768665022687,0.7721534667449319,0.22987989943949075,0.11585234494126695,0.6840204740455971,0.7161702618889891,0.3154297425532665,0.21621655126532854,0.575000751080234,0.6543628178727072,,,,,,,,,,,,,,,,,,
iTransformer,12,200,0.3333532531583748,0.24235263850789035,0.767074286650067,0.8152742696427562,0.26927006776334017,0.15047011280765799,0.7046273345585751,0.7287239580149953,0.336504730572112,0.2500199200151074,0.621680533964027,0.783168527670635,0.03050773418634496,1.5558956919788172e-05,200.0,0.021460042773855142,6.745858316599967e-05,200.0,0.03239044515813813,7.238038335162312e-06,200.0,0.019229307857067963,0.0016164623684345153,200.0,0.016506905230313687,0.0003172596931710945,200.0,0.010475441418401796,0.026894866045257784,200.0
iTransformer,24,200,0.3413556721886916,0.26834703600367105,0.7681377553258486,0.8242281556291302,0.2752829477900285,0.1477208899922262,0.7058365466733769,0.74695499443034,0.3422229238651858,0.2628249869803967,0.640178513145344,0.7814757629632654,0.038510153216661805,2.0082730931996393e-09,200.0,0.022523511449636748,1.1518291505162703e-05,200.0,0.0384033251848264,1.5212516505428642e-08,200.0,0.020438519971869913,0.0005225086849386289,200.0,0.022225098523387447,1.2668077238220017e-06,200.0,0.028973420599718767,3.856272047768016e-05,200.0
iTransformer,48,200,0.3242987899309061,0.23729219315041805,0.7573249835318072,0.799133726905452,0.26190909592557615,0.14313355673436176,0.6963961402642771,0.7484701441152928,0.33412415356709607,0.2549324761090611,0.636216048288141,0.7546039690953856,0.021453270958876294,4.613100986402711e-07,200.0,0.011710739655595201,3.3276765493297884e-05,200.0,0.025029473320374127,8.425667276965666e-08,200.0,0.010998113562770053,0.0011129649608509293,200.0,0.014126328225297744,4.829056191936774e-07,200.0,0.025010955742515835,2.0431623414254116e-09,200.0
iTransformer,96,200,0.3028455189720298,0.19244854063257,0.7456142438762119,0.7967424955660101,0.2368796226052021,0.12519066782144836,0.685398026701507,0.741832831763141,0.3199978253417984,0.23710295857880898,0.6112050925456252,0.6858958844222406,,,,,,,,,,,,,,,,,,
iTransformer,192,200,0.2673368138368618,0.16768523681131714,0.7222380426173742,0.7780197266959865,0.209892995777116,0.10348123869914305,0.6668011829996309,0.7362789158392155,0.2961474052215049,0.2048161249753149,0.5695652177120967,0.6515858615871892,-0.035508705135168045,3.8203679598066594e-11,200.0,-0.023376201258837544,5.383774821936687e-09,200.0,-0.026986626828086044,3.7731720374357154e-10,200.0,-0.01859684370187621,5.395411302757721e-06,200.0,-0.02385042012029343,1.993244039310702e-09,200.0,-0.0416398748335285,1.4138341724902177e-05,200.0
iTransformer,336,173,0.21487167734099238,0.1177759759651759,0.6948026633510725,0.762026227197794,0.20434217150945777,0.0986639178249818,0.6731625898944865,0.7419573930624553,0.2917775060314321,0.195400854868021,0.5669211330460683,0.6364741641337386,-0.05919193119157646,4.0460441190560756e-12,173.0,-0.04135892679543862,4.998680343582037e-09,173.0,-0.05067151436281656,3.2092980727461956e-10,173.0,-0.031915515898702285,9.100218412605707e-06,173.0,-0.047257882043881,2.8262650528763523e-10,173.0,-0.07822143615473043,1.8746530318282573e-09,173.0
